age,citizen,unit,sex,geo\time	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 
TOTAL,NAT,NR,M,LU	694 	597 	653 	649 	640 	541 	522 	353 	398 	356 	346 	650 	619 	599 	593 	597 
TOTAL,NAT,NR,M,LV	2787 	5520 	4363 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	215 	970 
TOTAL,NAT,NR,M,ME	: 	267 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,NAT,NR,M,MK	: 	200 	179 	: 	: 	125 	202 	272 	330 	324 	: 	403 	269 	: 	: 	: 
TOTAL,NAT,NR,M,MT	938 	903 	832 	422 	612 	617 b	637 	637 	: 	: 	: 	: 	0 	: 	: 	: 
TOTAL,NAT,NR,M,NL	19374 	19463 	20038 	20288 	19685 b	21326 	19802 	18069 	15818 	15688 	16798 	18468 	20620 	21886 	21506 	21877 
TOTAL,NAT,NR,M,NO	3442 	3275 	3884 	4785 	3777 	3121 b	4155 	4101 	4279 	: 	: 	4644 	4454 	4387 	: 	5055 
TOTAL,NAT,NR,M,PL	74565 	80121 	64630 	74686 	104968 b	25775 b	7809 	5063 	4352 	4260 	3437 	3387 	3300 	3661 	3603 	3621 
TOTAL,NAT,NR,M,PT	7199 	5603 	7325 	7431 	6525 	6117 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,NAT,NR,M,RO	76028 	86931 	78492 	77545 	73066 	78281 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,NAT,NR,M,RU	: 	: 	: 	: 	: 	: 	109632 	79601 	73256 	: 	: 	: 	: 	: 	: 	: 
TOTAL,NAT,NR,M,SE	10541 	10553 	10790 	10341 	9722 	9240 	8358 	7884 	7214 	7424 	8124 	8546 	8603 	8280 	7847 	7048 
TOTAL,NAT,NR,M,SI	1306 	1540 	1781 	1553 	1657 	1515 b	920 	1025 	1037 	936 	694 	793 	547 	509 	729 	446 
TOTAL,NAT,NR,M,SK	1298 	1250 b	520 b	524 	578 	670 	729 	656 	878 	1330 	1088 b	1034 	787 	: 	: 	: 
TOTAL,NAT,NR,M,TR	: 	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,NAT,NR,M,UK	40436 	42687 	41962 	48048 	50680 	46984 b	35156 	: 	49698 	: 	: 	: 	55710 	54802 	: 	: 
TOTAL,NAT,NR,T,AT	9237 	8272 	8082 	8817 	8988 	8636 	8477 	15636 	16470 	18301 	18528 	21981 b	15142 	13794 	14331 	13494 
TOTAL,NAT,NR,T,BE	17531 	17271 	18426 	18557 b	: 	: 	36483 	35827 	34922 	33276 	33314 	30489 	28182 	26479 	24556 	24146 
TOTAL,NAT,NR,T,BG	4682 p	4964 	: 	: 	: 	1148 	1498 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,NAT,NR,T,BY	: 	: 	: 	: 	: 	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,NAT,NR,T,CH	26054 	24006 	24104 b	22283 	22354 	22668 	21779 	20409 	19179 	19354 	20971 	22326 	24331 	26102 	24276 	23753 
TOTAL,NAT,NR,T,CY	1534 	1276 	2054 	1881 	: 	1101 	953 	1010 	2540 	1760 	1994 	2154 	3619 	1157 	: 	: 
TOTAL,NAT,NR,T,CZ	5326 	6765 	8141 	18267 	21744 	25190 b	1934 	2058 	1718 	2649 	2577 	1031 	1595 	3575 	3100 	: 
TOTAL,NAT,NR,T,DE	83229 	87245 	89438 	85527 	79165 b	108331 	106014 	103388 	128051 	177993 	167216 	184202 	193958 	191909 	200150 	196956 
TOTAL,NAT,NR,T,DK	18970 	18644 	18261 	18508 	19281 	19851 b	22033 	22469 	22469 	21990 	22062 	22181 	22330 	22105 	22353 	22542 
TOTAL,NAT,NR,T,EE	2472 	1532 	2034 	1611 	1655 	1742 b	1789 	746 	455 	338 	: 	: 	: 	: 	599 	556 
TOTAL,NAT,NR,T,EL	26644 	26194 	27043 	25078 	22790 	25070 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,NAT,NR,T,ES	32422 	31571 	35450 	30425 	27602 	31710 b	37732 	37873 	36573 	38717 	79543 b	40175 	20724 	31587 	28243 	24032 
TOTAL,NAT,NR,T,FI	8068 	7944 	9065 	7424 	8612 	9208 	8525 	8583 	8611 	8822 	8406 	8141 	7918 	7785 	6807 	5852 
TOTAL,NAT,NR,T,FR	115402 	115752 	119654 	114241 	125268 	125377 	125746 	130649 b	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,NAT,NR,T,HR	5085 	4208 	4720 	: 	: 	12525 	13704 	13944 	: 	16857 	16355 	18368 	22256 	: 	31046 	: 
TOTAL,NAT,NR,T,HU	17718 	13362 	5504 	1635 b	2312 	2105 b	1754 	2163 	2238 	2134 	1962 	1883 	1771 	1542 	1271 	1217 
TOTAL,NAT,NR,T,IE	12695 p	16548 	19933 	19697 	18262 	22050 	24946 	29622 b	14175 	18025 	16850 	19950 	26825 	25925 	25275 	26100 
TOTAL,NAT,NR,T,IS	2802 	2310 	1868 	1678 	1413 b	2817 	3228 	: 	: 	: 	: 	2360 	2487 	2741 	2867 	2788 
TOTAL,NAT,NR,T,IT	28433 	29467 	31466 	34357 	36215 p	38163 p	42818 	43052 	42893 	49810 	45635 	60887 	35416 	34411 	32152 	29771 
TOTAL,NAT,NR,T,KG	: 	: 	: 	: 	: 	: 	3482 	2903 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,NAT,NR,T,LI	165 	171 	162 	160 	168 	161 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,NAT,NR,T,LT	18975 	17357 	14012 	4153 	4821 	6337 	6141 	5508 	4705 	3397 	1313 	809 	714 	841 	1035 	1178 
TOTAL,NAT,NR,T,LU	1301 	1039 	1160 	1148 	1116 	957 	909 	621 	638 	627 	604 	1113 	1080 	973 	1018 	1025 
TOTAL,NAT,NR,T,LV	4774 	9637 	7373 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	408 	1248 
TOTAL,NAT,NR,T,ME	: 	556 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,NAT,NR,T,MK	: 	396 	349 	: 	: 	219 	366 	487 	524 	543 	: 	723 	458 	: 	: 	: 
TOTAL,NAT,NR,T,MT	1824 	1756 	1645 	888 	1265 	1332 b	1171 	1171 	: 	: 	: 	: 	0 	: 	: 	: 
TOTAL,NAT,NR,T,NL	36319 	36377 	37762 	38019 	36992 b	40160 	36561 	33493 	28882 	28898 	30948 	34631 	38897 	41467 	40786 	40706 
TOTAL,NAT,NR,T,NO	7006 	6704 	7618 	9591 	7303 	6436 b	8276 	8351 	8793 	8618 	9170 	9334 	8852 	8757 	9611 	9957 
TOTAL,NAT,NR,T,PL	131431 	135910 	101945 	107378 	142348 b	35891 b	13384 	8978 	8228 	8253 	6548 	6328 	6270 	6921 	7052 	6920 
TOTAL,NAT,NR,T,PT	12156 	9334 	11872 	19222 	17883 	9586 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,NAT,NR,T,RO	138923 	155613 	138397 	136799 	124936 	126757 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,NAT,NR,T,RU	: 	: 	: 	: 	: 	: 	218387 	170137 	162646 	: 	: 	: 	: 	: 	: 	: 
TOTAL,NAT,NR,T,SE	20484 	20462 	20615 	19765 	18517 	17853 	15949 	15352 	13932 	14448 	15807 	16484 	16678 	16030 	15266 	13690 
TOTAL,NAT,NR,T,SI	2250 	2741 	3318 	2711 	2903 	2631 b	1689 	1765 	1747 	1574 	1268 	1432 	1030 	935 	1362 	857 
TOTAL,NAT,NR,T,SK	2674 	2479 b	1078 b	1111 	1205 	1350 	1417 	1302 	1745 	2471 	1989 b	1854 	1492 	: 	: 	: 
TOTAL,NAT,NR,T,TR	: 	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,NAT,NR,T,UK	76136 	80196 	78430 	93321 	95970 	85081 b	71424 	77306 	89067 	85460 	106017 	94430 	105976 	103902 	115574 	: 
TOTAL,TOTAL,NR,F,AM	: 	: 	: 	: 	: 	: 	648 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,TOTAL,NR,F,AT	47432 	42524 	38007 	33863 	33019 	35800 	35106 	44237 	51192 	55240 	51045 	47998 b	40892 	38157 	41346 	33793 
TOTAL,TOTAL,NR,F,AZ	: 	: 	: 	: 	: 	: 	745 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,TOTAL,NR,F,BA	: 	: 	: 	: 	: 	: 	2942 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,TOTAL,NR,F,BE	55381 	67564 	68099 	64372 b	: 	: 	65674 	62400 	61257 	54549 	52075 	51673 	49841 	40944 	41928 	38156 
TOTAL,TOTAL,NR,F,BG	8074 p	5921 bp	: 	: 	: 	562 	684 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,TOTAL,NR,F,BY	: 	: 	: 	: 	: 	: 	7071 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,TOTAL,NR,F,CH	76841 	70586 	70755 b	76513 	76124 	84471 	75202 	60043 	56293 	58292 	59095 	62206 	60152 	54772 	53754 	47858 
TOTAL,TOTAL,NR,F,CY	6675 	11681 	12707 	11494 	6726 	7808 	11069 	9806 	13815 	11501 	7964 	7688 	7922 	6466 	: 	4442 
TOTAL,TOTAL,NR,F,CZ	13763 	16182 	12354 	22549 	32118 	43498 b	40724 	26198 	22394 	19068 	20458 	17038 	5597 	3845 	4854 	: 
TOTAL,TOTAL,NR,F,DE	293749 	254559 	212723 	181171 	159074 b	277387 	277266 	268273 	295730 	324574 	328987 	361458 	371734 	353319 	369049 	329311 
TOTAL,TOTAL,NR,F,DK	28941 	26502 	25634 	25850 	25773 	27417 b	30933 	27396 	25992 	24755 	24740 	26481 	28141 	26646 	25514 	25734 
TOTAL,TOTAL,NR,F,EE	1895 	1200 	1577 	1173 	1516 	1490 b	1648 	1018 	608 	519 	: 	: 	: 	: 	654 	653 
TOTAL,TOTAL,NR,F,EL	26626 	26743 	27611 	27718 	28223 	32056 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,TOTAL,NR,F,ES	141299 	154304 	190386 	183877 	200675 	288812 b	437355 	399019 	330462 	310240 	320353 b	229501 	193149 	168058 	62742 	40373 
TOTAL,TOTAL,NR,F,FI	15485 	15178 	14380 	12177 	12753 	13250 	12282 	10846 	10518 	10203 	8960 	9037 	9508 	8490 	7394 	7306 
TOTAL,TOTAL,NR,F,FR	173438 	171620 	166794 	160430 b	155641 	154111 	153747 	157149 b	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,TOTAL,NR,F,HR	4954 	4320 	4280 b	: 	: 	6851 	6682 	6823 	: 	9002 	9148 	10170 	12491 	: 	: 	26429 
TOTAL,TOTAL,NR,F,HU	17069 	15072 	12614 	11229 b	12155 	15638 b	10708 	11432 p	12034 	10847 	9038 	8822 	10464 	10698 	10664 	8190 
TOTAL,TOTAL,NR,F,IE	31050 p	27393 	27563 	26431 	25374 	42049 	62251 	64877 b	44900 	34825 	28150 	30350 	33925 	28275 	25900 	24125 
TOTAL,TOTAL,NR,F,IS	3058 	2453 	2003 	1897 	1931 b	4329 	4631 	: 	: 	: 	: 	2173 	2567 	2615 	2468 	2332 
TOTAL,TOTAL,NR,F,IT	159342 	179176 	200125 	251136 	240966 p	286218 p	301080 	160476 	170836 	217453 	240238 	113079 	101929 	106708 	88424 	82992 
TOTAL,TOTAL,NR,F,KG	: 	: 	: 	: 	: 	: 	2008 	1835 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,TOTAL,NR,F,LI	345 	314 	328 	285 	290 	272 	: 	: 	: 	: 	: 	: 	: 	: 	1311 	: 
TOTAL,TOTAL,NR,F,LT	10012 	8937 	7188 	2421 	3130 	3795 	3832 	3373 	2973 	2585 	2134 	2295 	1993 	780 	1311 	1409 
TOTAL,TOTAL,NR,F,LU	9719 	9359 	9166 	7691 	7264 	8087 	7708 	6555 	6679 	5695 	6035 	5551 	5592 	5302 	5892 	5292 
TOTAL,TOTAL,NR,F,LV	3389 	5460 	3934 b	1696 	1666 	1797 	2762 	3613 	3221 	2083 	1780 	3262 	2201 	2890 	854 	1003 
TOTAL,TOTAL,NR,F,MD	: 	: 	: 	: 	: 	: 	633 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,TOTAL,NR,F,ME	: 	2397 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,TOTAL,NR,F,MK	: 	927 	781 	: 	: 	661 	858 	1358 	1734 	1065 	: 	1468 	189 	230 	: 	: 
TOTAL,TOTAL,NR,F,MT	3296 	2975 	2359 	1936 	2507 	2191 b	2795 e	899 e	: 	: 	: 	: 	221 	206 	155 	146 
TOTAL,TOTAL,NR,F,NL	63570 	61253 	63878 	62216 	59596 b	67964 	56021 	49459 	46160 	47819 	52022 	59177 	63640 	63885 	57756 	58870 
TOTAL,TOTAL,NR,F,NO	31163 	31493 	30883 	31434 	26228 	25742 b	25847 	21052 	20001 	18653 	18385 	20781 	17382 	17402 	20977 	18392 
TOTAL,TOTAL,NR,F,PL	91825 	89228 	61320 	53483 	58785 b	15669 b	6492 	4864 	4491 	4695 	3338 	3058 	3120 	3438 	3672 	4132 
TOTAL,TOTAL,NR,F,PT	7649 	6506 	8586 	16084 	18845 	17334 	21408 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,TOTAL,NR,F,RO	68856 	73219 	63754 	64399 	56446 	53508 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,TOTAL,NR,F,RU	: 	: 	: 	: 	: 	: 	139350 	98481 	97036 	: 	: 	: 	: 	: 	: 	: 
TOTAL,TOTAL,NR,F,SE	55419 	49673 	45643 	46163 	49298 	48711 	45857 	45040 	31786 	31242 	31955 	31449 	30145 	29196 	25262 	24916 
TOTAL,TOTAL,NR,F,SI	5406 	5920 	5766 	5575 	7323 	6878 b	5534 	4266 	3911 	2686 	3050 	2918 	2482 	1788 	1258 	1786 
TOTAL,TOTAL,NR,F,SK	2182 	2201 b	1816 b	4961 	5790 	5764 	5352 	4583 	3405 	4061 	2668 b	1022 	965 	1093 	1005 	974 
TOTAL,TOTAL,NR,F,SM	: 	: 	: 	: 	: 	: 	218 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,TOTAL,NR,F,TJ	: 	: 	: 	: 	: 	: 	: 	406 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,TOTAL,NR,F,TR	: 	: 	15261 	16060 	13159 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,TOTAL,NR,F,UK	263628 	245457 	258298 	264041 	261647 	280311 b	240726 	248588 	223342 	257477 	219751 	186242 	184830 	172915 	173243 	164941 
TOTAL,TOTAL,NR,F,US	: 	: 	: 	: 	: 	: 	: 	: 	: 	554390 	: 	: 	: 	: 	: 	: 
TOTAL,TOTAL,NR,F,UZ	: 	: 	: 	: 	: 	: 	: 	3382 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,TOTAL,NR,M,AM	: 	: 	: 	: 	: 	: 	464 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,TOTAL,NR,M,AT	54434 	49033 	44223 	37115 	36276 	37972 	37756 	54298 	63273 	67307 	60824 	60127 b	49036 	43519 	45364 	38930 
TOTAL,TOTAL,NR,M,AZ	: 	: 	: 	: 	: 	: 	1209 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,TOTAL,NR,M,BA	: 	: 	: 	: 	: 	: 	2678 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,TOTAL,NR,M,BE	62875 	79823 	76599 	70909 b	: 	: 	80735 	75299 	71553 	62687 	59985 	62184 	60569 	48444 	49696 	45656 
TOTAL,TOTAL,NR,M,BG	10496 p	8182 bp	: 	: 	: 	674 	877 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,TOTAL,NR,M,BY	: 	: 	: 	: 	: 	: 	7084 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,TOTAL,NR,M,CH	83316 	78465 	78044 b	85265 	84499 	99826 	90432 	67543 	61977 	61896 	60688 	63874 	62342 	55530 	54199 	48097 
TOTAL,TOTAL,NR,M,CY	6474 	5795 	10330 	8712 	4949 	6287 	7948 	5739 	10604 	10502 	8815 	6682 	9563 	6298 	: 	4209 
TOTAL,TOTAL,NR,M,CZ	16361 	18155 	14760 	25768 	43502 	64769 b	63721 	41985 	37900 	34385 	39557 	27641 	7321 	3957 	5056 	: 
TOTAL,TOTAL,NR,M,DE	398964 	337616 	276699 	222884 	187142 b	404759 	403500 	393582 	411622 	455601 	439988 	481085 	507483 	487839 	504974 	473145 
TOTAL,TOTAL,NR,M,DK	31371 	27907 	27199 	26386 	26027 	29940 b	33723 	29354 	26466 	25105 	25014 	26297 	27843 	26269 	24722 	25638 
TOTAL,TOTAL,NR,M,EE	2214 	1439 	2132 	1637 	2368 	2181 b	2093 	1216 	828 	578 	: 	: 	: 	: 	544 	566 
TOTAL,TOTAL,NR,M,EL	31320 	31457 	32478 	32744 	30390 	34473 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,TOTAL,NR,M,ES	139473 	149749 	180945 	176828 	192287 	310263 b	520911 	441825 	388822 	374321 	351913 b	253759 	221623 	194410 	64623 	40854 
TOTAL,TOTAL,NR,M,FI	16456 	16100 	15101 	13459 	13946 	15864 	13747 	11605 	10837 	10130 	8878 	9076 	9447 	8405 	7350 	6886 
TOTAL,TOTAL,NR,M,FR	159202 	155811 	153022 	146681 b	141329 	142497 	140233 	144395 b	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,TOTAL,NR,M,HR	5424 	4639 	4254 b	: 	: 	7690 	7940 	8155 	: 	9381 	9307 	10195 	11924 	: 	: 	25355 
TOTAL,TOTAL,NR,M,HU	21899 	18630 	15404 	14290 b	15739 	22014 b	13653 	14300 p	15786 	13451 	12289 	11033 	11615 	11028 	10758 	9079 
TOTAL,TOTAL,NR,M,IE	28244 p	27046 	25661 	25908 	25230 	40543 	60164 	74557 b	57100 	43250 	30725 	31375 	31000 	29125 	25775 	24050 
TOTAL,TOTAL,NR,M,IS	3348 	2507 	2070 	2051 	1990 b	5959 	7915 	: 	: 	: 	: 	2042 	2435 	2588 	2317 	2231 
TOTAL,TOTAL,NR,M,IT	148112 	171596 	185668 	207720 	201974 p	248494 p	256939 	137164 	154837 	227113 	230253 	109722 	106323 	120260 	96628 	73893 
TOTAL,TOTAL,NR,M,KG	: 	: 	: 	: 	: 	: 	1952 	1585 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,TOTAL,NR,M,LI	351 	357 	322 	306 	294 	306 	: 	: 	: 	: 	: 	: 	: 	: 	1368 	: 
TOTAL,TOTAL,NR,M,LT	11999 	10906 	8497 	2792 	3357 	5502 	4777 	4372 	3816 	2968 	2594 	2815 	2701 	730 	1368 	1297 
TOTAL,TOTAL,NR,M,LU	11379 	11119 	11102 	9271 	8487 	9671 	8967 	7797 	7718 	7177 	7123 	6550 	6543 	6463 	6902 	6338 
TOTAL,TOTAL,NR,M,LV	4910 	7843 	6300 b	2315 	2065 	2881 	4755 	4599 	3470 	2761 	2283 	3380 	3175 	3593 	959 	2120 
TOTAL,TOTAL,NR,M,MD	: 	: 	: 	: 	: 	: 	1437 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,TOTAL,NR,M,ME	: 	3330 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,TOTAL,NR,M,MK	: 	788 	683 	: 	: 	391 	462 	719 	937 	653 	: 	791 	269 	409 	: 	: 
TOTAL,TOTAL,NR,M,MT	5132 	4136 	3106 	2339 	3654 	3852 b	3935 e	930 e	: 	: 	: 	: 	251 	244 	184 	203 
TOTAL,TOTAL,NR,M,NL	65858 	63313 	66240 	64560 	63321 b	75552 	60798 	51691 	46137 	46200 	52492 	62073 	69764 	68965 	61395 	63537 
TOTAL,TOTAL,NR,M,NO	37150 	38415 	39454 	37780 	29725 	32381 b	35927 	24724 	20147 	17829 	17572 	19341 	16882 	19140 	20864 	18312 
TOTAL,TOTAL,NR,M,PL	128486 	128318 	95739 	101648 	130381 b	32211 b	8503 	5938 	4873 	4800 	3710 	3529 	3505 	3893 	3853 	4400 
TOTAL,TOTAL,NR,M,PT	9905 	8100 	11081 	11491 	13462 	12384 	24892 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,TOTAL,NR,M,RO	84790 	94047 	83931 	85486 	79398 	85421 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,TOTAL,NR,M,RU	: 	: 	: 	: 	: 	: 	147620 	87899 	80194 	: 	: 	: 	: 	: 	: 	: 
TOTAL,TOTAL,NR,M,SE	60426 	53386 	50824 	52638 	52982 	52460 	53628 	50710 	33443 	30786 	31840 	32638 	30650 	29466 	24577 	24475 
TOTAL,TOTAL,NR,M,SI	8465 	9102 	8317 	9841 	22973 	23815 b	23659 	15750 	11130 	7485 	6229 	6216 	5321 	4397 	3683 	2817 
TOTAL,TOTAL,NR,M,SK	2967 	3218 b	3013 b	8809 	9853 	12056 	10913 	8028 	6005 	6329 	3883 b	1290 	1058 	1181 	1067 	1078 
TOTAL,TOTAL,NR,M,SM	: 	: 	: 	: 	: 	: 	211 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,TOTAL,NR,M,TJ	: 	: 	: 	: 	: 	: 	: 	636 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,TOTAL,NR,M,TR	: 	: 	12012 	13845 	9311 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,TOTAL,NR,M,UK	262418 	252583 	307746 	326909 	304867 	309931 b	285987 	280419 	273128 	260621 	211737 	199659 	187376 	191453 	180834 	167449 
TOTAL,TOTAL,NR,M,US	: 	: 	: 	: 	: 	: 	: 	: 	: 	465933 	: 	: 	: 	: 	: 	: 
TOTAL,TOTAL,NR,M,UZ	: 	: 	: 	: 	: 	: 	: 	3036 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,TOTAL,NR,T,AM	: 	: 	: 	: 	: 	: 	1112 	1335 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,TOTAL,NR,T,AT	101866 	91557 	82230 	70978 	69295 	73772 	72862 b	98535 	114465 	122547 	111869 	108125 b	89928 	81676 	86710 	72723 
TOTAL,TOTAL,NR,T,AZ	: 	: 	: 	: 	: 	: 	1954 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,TOTAL,NR,T,BA	: 	: 	: 	: 	: 	: 	5620 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,TOTAL,NR,T,BE	118256 	147387 	144698 	135281 b	: 	164152 	146409 	137699 	132810 	117236 	112060 	113857 	110410 	89388 	91624 	83812 
TOTAL,TOTAL,NR,T,BG	18570 p	14103 bp	: 	: 	: 	1236 	1561 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,TOTAL,NR,T,BY	: 	: 	: 	: 	: 	: 	14155 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,TOTAL,NR,T,CH	160157 	149051 	148799 b	161778 	160623 	184297 	165634 	127586 	118270 	120188 	119783 	126080 	122494 	110302 	107953 	95955 
TOTAL,TOTAL,NR,T,CY	13149 	17476 	23037 	20206 	11675 	14095 	19017 	15545 	24419 	22003 	16779 	14370 	17485 	12764 	: 	8721 
TOTAL,TOTAL,NR,T,CZ	30124 	34337 	27114 	48317 	75620 	108267 b	104445 	68183 	60294 	53453 	60015 	44679 	12918 	7802 	9910 	: 
TOTAL,TOTAL,NR,T,DE	692713 	592175 	489422 	404055 	346216 b	682146 	680766 	661855 	707352 	780175 	768975 	842543 	879217 	841158 	874023 	802456 
TOTAL,TOTAL,NR,T,DK	60312 	54409 	52833 	52236 	51800 	57357 b	64656 	56750 	52458 	49860 	49754 	52778 	55984 	52915 	50236 	51372 
TOTAL,TOTAL,NR,T,EE	4109 	2639 	3709 	2810 	3884 	3671 b	3741 	2234 	1436 	1097 	967 	575 	241 	35 	1198 	1219 
TOTAL,TOTAL,NR,T,EL	57946 	58200 	60089 	60462 	58613 	66529 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,TOTAL,NR,T,ES	280772 	304053 	371331 	360705 	392962 	599075 b	958266 	840844 	719284 	684561 	672266 b	483260 	414772 	362468 	127365 	81227 
TOTAL,TOTAL,NR,T,FI	31941 	31278 	29481 	25636 	26699 	29114 	26029 	22451 	21355 	20333 	17838 	18113 	18955 	16895 	14744 	14192 
TOTAL,TOTAL,NR,T,FR	332640 	327431 	319816 	307111 b	296970 	296608 	293980 	301544 b	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,TOTAL,NR,T,HR	10378 	8959 	8534 b	: 	: 	14541 	14622 	14978 	: 	18383 	18455 	20365 	24415 	: 	32910 	51784 
TOTAL,TOTAL,NR,T,HU	38968 	33702 	28018 	25519 b	27894 	37652 b	24361 	25732 p	27820 	24298 	21327 	19855 	22079 	21726 	21422 	17269 
TOTAL,TOTAL,NR,T,IE	59294 p	54439 	53224 	52339 	50604 	82592 	122415 	139434 b	102000 	78075 	58875 	61725 	64925 	57400 	51675 	48175 
TOTAL,TOTAL,NR,T,IS	6406 	4960 	4073 	3948 	3921 b	10288 	12546 	9832 	7773 	5350 	3704 	4215 	5002 	5203 	4785 	4563 
TOTAL,TOTAL,NR,T,IT	307454 	350772 	385793 	458856 	442940 p	534712 p	558019 	297640 	325673 	444566 	470491 	222801 	208252 	226968 	185052 	156885 
TOTAL,TOTAL,NR,T,KG	: 	: 	: 	: 	: 	: 	3960 	3420 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,TOTAL,NR,T,LI	696 	671 	650 	591 	584 	578 	: 	: 	: 	: 	: 	: 	: 	: 	2679 	: 
TOTAL,TOTAL,NR,T,LT	22011 	19843 	15685 	5213 	6487 	9297 	8609 	7745 	6789 	5553 	4728 	5110 	4694 	1510 	2679 	2706 
TOTAL,TOTAL,NR,T,LU	21098 	20478 	20268 	16962 	15751 	17758 	16675 	14352 	14397 	12872 	13158 	12101 	12135 	11765 	12794 	11630 
TOTAL,TOTAL,NR,T,LV	8299 	13303 	10234 b	4011 	3731 	4678 	7517 	8212 	6691 	4844 	4063 	6642 	5376 	6483 b	1813 	3123 
TOTAL,TOTAL,NR,T,MD	: 	: 	: 	: 	: 	: 	2070 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,TOTAL,NR,T,ME	: 	5727 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,TOTAL,NR,T,MK	: 	1715 	1464 	: 	: 	1052 	1320 	2077 	2671 	1718 	: 	2259 	458 	639 	: 	: 
TOTAL,TOTAL,NR,T,MT	8428 	7111 	5465 	4275 	6161 	6043 b	6730 e	1829 e	187 p	: 	: 	533 	472 	450 	339 	349 
TOTAL,TOTAL,NR,T,NL	129428 	124566 	130118 	126776 	122917 b	143516 	116819 	101150 	92297 	94019 	104514 	121250 	133404 	132850 	119151 	122407 
